store_id,context_len,mode,mae_all,mae_open,mae_closed,n_open,n_closed,pred_path
257,512,covariate,271.90070519999995,303.7590461538461,64.821489,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_257.csv
262,512,covariate,1358.6856,1358.6856,,30,0,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_262.csv
266,512,covariate,144.3813597333333,156.69484615384613,64.343698,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_266.csv
269,512,covariate,317.7281066,356.16129230769235,67.91239949999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_269.csv
272,512,covariate,205.71947128973335,229.0641346153846,53.979159673,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_272.csv
280,512,covariate,252.90487953333337,278.62951538461544,85.69474650000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_280.csv
281,512,covariate,222.21333440000004,239.12871923076926,112.26333299999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_281.csv
302,512,covariate,186.3489225333333,205.5351846153846,61.63821900000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_302.csv
309,512,covariate,222.73386333333335,237.19487692307695,128.73727499999998,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_309.csv
312,512,covariate,193.39473713333336,213.05241153846157,65.6198535,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_312.csv
316,512,covariate,277.9374698,309.84091153846146,70.5650985,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_316.csv
319,512,covariate,220.69863559333322,249.38246923076912,34.25371695,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_319.csv
321,512,covariate,276.90783533333337,307.0908730769231,80.71808999999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_321.csv
322,512,covariate,252.04084106666667,287.90157307692306,18.946083,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_322.csv
325,512,covariate,268.6936966666666,291.61913461538455,119.67835,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_325.csv
328,512,covariate,176.43992380000006,190.61881923076928,84.27710350000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_328.csv
329,512,covariate,261.1976606666666,284.9720076923076,106.664405,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_329.csv
331,512,covariate,234.9367220333335,248.05503076923094,149.66771525000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_331.csv
332,512,covariate,141.61522763099995,156.93109615384608,42.0620822325,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_332.csv
338,512,covariate,307.49682899000004,348.0336038461538,44.007792425,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_338.csv
340,512,covariate,256.9395382,283.00355,87.5234615,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_340.csv
343,512,covariate,271.5084580500001,299.9486384615386,86.647285375,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_343.csv
346,512,covariate,225.74623376666662,240.96784230769228,126.80577825,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_346.csv
350,512,covariate,247.5177331999999,280.3156346153845,34.331374,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_350.csv
351,512,covariate,251.9099069999999,253.19547307692298,243.55372749999998,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_351.csv
354,512,covariate,273.4925999999999,284.8141576923077,199.902475,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_354.csv
356,512,covariate,279.09241516666674,311.54553461538467,68.14713875,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_356.csv
366,512,covariate,214.92510533333336,215.82121153846157,209.100415,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_366.csv
373,512,covariate,144.52469321,157.6101307692308,59.469349075,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_373.csv
375,512,covariate,272.50856133333326,290.32727692307685,156.68690999999998,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_375.csv
378,512,covariate,223.19093099999998,244.78322307692304,82.84103250000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_378.csv
381,512,covariate,242.93744433333342,272.73787307692317,49.2346575,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_381.csv
383,512,covariate,661.7499663333333,704.7036346153847,382.5511225,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_383.csv
384,512,covariate,291.3386390333334,313.8537230769231,144.99059275,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_384.csv
386,512,covariate,273.28725080000004,299.44038076923084,103.291906,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_386.csv
392,512,covariate,306.46770703333334,341.02413846153854,81.85090275000002,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_392.csv
418,512,covariate,186.19526486666663,206.95806923076924,51.237036499999995,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_418.csv
422,512,covariate,213.3430379,228.8887576923077,112.29585925,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_422.csv
439,512,covariate,233.29754470000003,251.14294230769235,117.30246025,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_439.csv
450,512,covariate,539.7454416666667,567.6586038461539,358.3098875,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_450.csv
455,512,covariate,538.6462203333333,592.53315,188.38117750000004,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_455.csv
459,512,covariate,392.8976381333332,433.2776115384614,130.427811,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_459.csv
460,512,covariate,193.7775527333333,201.43444230769228,144.00777050000002,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_460.csv
466,512,covariate,362.52125713333334,395.9774884615385,145.0557535,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_466.csv
469,512,covariate,378.4273719666667,417.2310538461539,126.20343975,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_469.csv
476,512,covariate,123.10758237999995,128.17250769230765,90.18556785000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_476.csv
483,512,covariate,276.21694229999997,304.5851423076923,91.82364224999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_483.csv
493,512,covariate,336.75800366666664,368.75430769230775,128.7820275,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_493.csv
494,512,covariate,418.99289000000005,418.99289000000005,,30,0,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_494.csv
496,512,covariate,250.37750026333342,278.0132346153847,70.745226975,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_496.csv
507,512,covariate,304.04399333333333,326.805,156.09745000000004,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_507.csv
511,512,covariate,245.16984969999993,268.502823076923,93.50552274999998,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_511.csv
513,512,covariate,504.4067093666667,565.1038461538462,109.87532025,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_513.csv
519,512,covariate,190.93247949999997,207.1108615384615,85.77299624999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_519.csv
524,512,covariate,348.68395666666663,348.68395666666663,,30,0,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_524.csv
527,512,covariate,352.43497793333336,387.75558846153854,122.8510095,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_527.csv
541,512,covariate,255.65940673333338,283.30555000000004,75.9594755,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_541.csv
549,512,covariate,189.35442683333338,205.18948461538463,86.42655125000002,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_549.csv
550,512,covariate,309.1577260666666,314.2892076923077,275.8030955,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_550.csv
552,512,covariate,392.9862572133334,435.91201153846157,113.9688541,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_552.csv
558,512,covariate,166.09976576666668,184.99304230769232,43.293468250000004,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_558.csv
561,512,covariate,247.96728155666662,278.500223076923,49.503161674999994,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_561.csv
563,512,covariate,191.96006578666672,215.58725384615389,38.3833434,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_563.csv
566,512,covariate,234.67447099999998,238.6519538461538,208.8208325,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_566.csv
567,512,covariate,204.10551630000006,226.5248115384616,58.380097250000006,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_567.csv
569,512,covariate,162.14011286666664,179.58359999999996,48.75744649999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_569.csv
588,512,covariate,214.24471799999992,230.9984307692307,105.345585,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_588.csv
590,512,covariate,247.17759239999995,270.7088923076923,94.224143,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_590.csv
592,512,covariate,154.23210055999996,164.92744230769225,84.7123792,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_592.csv
596,512,covariate,454.80820433333344,432.55350000000004,599.4637825,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_596.csv
597,512,covariate,192.69854726666674,209.18998076923086,85.50422950000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_597.csv
617,512,covariate,262.0822482,288.1524923076923,92.62566149999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_617.csv
621,512,covariate,286.5903418666666,314.8321769230769,103.018414,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_621.csv
623,512,covariate,243.77207800000005,271.53105384615395,63.338735,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_623.csv
631,512,covariate,163.24832533333336,177.3970346153846,71.28171499999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_631.csv
635,512,covariate,235.7667981333333,255.08044999999996,110.228061,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_635.csv
641,512,covariate,240.31065486666665,266.7804884615384,68.2567365,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_641.csv
642,512,covariate,151.2495059666667,160.82293461538464,89.02221974999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_642.csv
651,512,covariate,233.51136899999995,251.12928461538456,118.9949175,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_651.csv
