context_length,store_id,test_name,MAE,RMSE,PercentDifference,Interval_Covariates,Interval_Noise,Interval_StrongNoise,Interval_Shuffle,Interval_MissingFuture,Interval_TimeShift,Interval_TrendBreak,Interval_FeatureDrop,Interval_PartialMask,Interval_Scaling
512,97,StrongNoise,659.8088146666666,768.3202566525077,-16.32670442130968,1562.4012482333335,,1555.57294811,,,,,,,
512,97,Shuffle,701.4009976666667,810.5979840587023,-13.891129984396287,1562.4012482333335,,,1579.8100108333333,,,,,,
512,97,MissingFuture,159.6377861333332,212.39456941246155,-8.84191562480536,1562.4012482333335,,,,1408.179315,,,,,
512,97,TimeShift,537.0915593333332,631.942915620496,-16.232324216849143,1562.4012482333335,,,,,1411.407562333333,,,,
512,97,TrendBreak,1194.7781706666667,1611.6882083111368,32.429741134201365,1562.4012482333335,,,,,,3144.109378666667,,,
512,97,FeatureDrop,701.0529716666666,804.1325241099045,-15.438596676111588,1562.4012482333335,,,,,,,1534.500453666667,,
512,97,PartialMask,339.7294676666666,442.2717535288203,-12.991342675104633,1562.4012482333335,,,,,,,,1647.2353646666668,
512,97,Scaling,186.40698123333328,240.55652662625798,-8.44937461529265,1562.4012482333335,,,,,,,,,1338.2004150000002
512,970,Noise,88.62464855666674,110.15674128401817,-29.28853956029941,771.7830292000001,793.0479026666668,,,,,,,,
512,970,StrongNoise,392.9634040000001,460.41487099032673,-24.961374411717,771.7830292000001,,962.7485768333333,,,,,,,
512,970,Shuffle,420.07217066666664,492.1971125132537,-20.11787424233951,771.7830292000001,,,983.7775007666667,,,,,,
512,970,MissingFuture,94.46733648333333,116.286407971305,-32.2629342826985,771.7830292000001,,,,833.6765993333337,,,,,
512,970,TimeShift,300.94605500000006,379.04078042533683,-24.3686990204731,771.7830292000001,,,,,945.0164029999999,,,,
512,970,TrendBreak,841.7356199999999,1127.2791882943004,67.88110457421207,771.7830292000001,,,,,,1806.2429990000003,,,
512,970,FeatureDrop,395.43973433333326,456.3714686005482,-20.242183275283853,771.7830292000001,,,,,,,974.8230835333331,,
512,970,PartialMask,247.9697995,289.7650004047637,-19.172158037793594,771.7830292000001,,,,,,,,1017.8404856666665,
512,970,Scaling,104.4123380333334,123.64539393353827,-27.787659992905102,771.7830292000001,,,,,,,,,801.7340610000002
512,971,Noise,121.14744803333325,149.5486962304885,1.3967496496886989,2662.7389763333335,2338.3035913333338,,,,,,,,
512,971,StrongNoise,961.4435884666668,1080.066267311224,-0.7187493804793147,2662.7389763333335,,3007.2912796666665,,,,,,,
512,971,Shuffle,1042.8803718,1165.4850535807775,-6.6495910987526345,2662.7389763333335,,,2905.441063099999,,,,,,
512,971,MissingFuture,143.94069853333332,172.02293206428686,-13.493440012899077,2662.7389763333335,,,,2361.0967276666665,,,,,
512,971,TimeShift,691.2130144666666,809.963516696968,-45.370610836380564,2662.7389763333335,,,,,2519.609083,,,,
512,971,TrendBreak,3075.3257799666667,4185.228670336342,447.00963294145157,2662.7389763333335,,,,,,8557.304498,,,
512,971,FeatureDrop,972.5981718000002,1081.9642201388676,8.906364906344164,2662.7389763333335,,,,,,,2826.158926333333,,
512,971,PartialMask,529.7549084666666,625.4390535229561,-1.081304869183505,2662.7389763333335,,,,,,,,3506.293715,
512,971,Scaling,132.19724099999985,165.9401356713235,-13.39969392519066,2662.7389763333335,,,,,,,,,2303.6300400000005
512,972,Noise,179.7060740333334,218.8379823834053,-24.92096786658738,1053.9519743333333,1209.3199473333334,,,,,,,,
512,972,StrongNoise,580.5788745000001,652.0932093446165,37.9234868438386,1053.9519743333333,,1717.4935486666666,,,,,,,
512,972,Shuffle,655.4849011,733.2343358697991,36.45923739204315,1053.9519743333333,,,1597.3701436333333,,,,,,
512,972,MissingFuture,194.65582370000007,220.15647716980348,-7.074500174673319,1053.9519743333333,,,,1163.2718326666666,,,,,
512,972,TimeShift,451.7404398333334,510.7638100006308,-9.233431963558063,1053.9519743333333,,,,,1360.7993266666665,,,,
512,972,TrendBreak,866.0576003,1158.3968745487987,35.7481249119898,1053.9519743333333,,,,,,4126.420936333333,,,
512,972,FeatureDrop,596.9514624999999,661.470589102503,39.320342674867334,1053.9519743333333,,,,,,,1652.1947045000002,,
512,972,PartialMask,376.5760816666667,462.03025987280563,11.890759145895565,1053.9519743333333,,,,,,,,1820.1046326666667,
512,972,Scaling,160.44023746666673,204.5129046794585,-19.176440666560072,1053.9519743333333,,,,,,,,,1230.9049263333334
512,973,Noise,275.2060283333333,328.5903355033208,0.5886571172159517,2867.3581189999995,2645.125478,,,,,,,,
512,973,StrongNoise,748.6932296666666,944.5964383054143,1.9470618085784046,2867.3581189999995,,3318.0759949999997,,,,,,,
