context_length,store_id,mode,wql,mae,rmse,p10_under,p90_over
512,780,covariate,0.0356438652723714,313.0490738666666,401.008285616281,0.0,0.2
512,781,covariate,0.03617319763573147,213.4676045333333,283.1368060220588,0.0,0.1
512,782,covariate,0.0397646840119154,313.972429,391.14584964616,0.1,0.13333333333333333
512,783,covariate,0.03489973867443966,346.11794812666665,448.4426646106735,0.06666666666666667,0.16666666666666666
512,784,covariate,0.047926846212905015,418.61510086666664,534.5062674259366,0.0,0.13333333333333333
512,785,covariate,0.04880088621620551,466.60294000000005,666.812374384015,0.0,0.16666666666666666
512,786,covariate,0.040484309655000085,170.12741095053332,230.77437204656022,0.13333333333333333,0.06666666666666667
512,787,covariate,0.03924213318783556,540.7030176666665,704.2127902254948,0.0,0.23333333333333334
512,788,covariate,0.030739642928725105,665.7309613333331,912.6402969278138,0.06666666666666667,0.2
512,789,covariate,0.048518807355544674,252.45129733333337,314.41045888954307,0.0,0.36666666666666664
512,790,covariate,0.032430520180921824,353.5101768666666,444.5676139664846,0.1,0.13333333333333333
512,791,covariate,0.049282285126890785,570.1982933333335,727.546681307171,0.03333333333333333,0.2
512,792,covariate,0.03618464879219172,323.9123196666666,433.7502147479337,0.0,0.13333333333333333
512,793,covariate,0.04473694688006643,299.3408416666668,371.3107241979961,0.0,0.13333333333333333
512,794,covariate,0.0378230625448736,146.78952033333331,217.07955023848348,0.03333333333333333,0.16666666666666666
512,795,covariate,0.052494205551694297,315.43367579999995,380.09465366878266,0.03333333333333333,0.16666666666666666
512,796,covariate,0.0380846272627404,421.27995733333336,490.7771648197756,0.0,0.2
512,798,covariate,0.042933658168529516,435.33703193333326,517.6660263537932,0.0,0.26666666666666666
512,799,covariate,0.04267876930280732,515.0159594999998,761.636895830958,0.03333333333333333,0.2
512,800,covariate,0.04717249556009501,312.4432701666667,381.3198806498107,0.1,0.2
512,801,covariate,0.04630480794011465,378.69530566666674,460.27664305253006,0.23333333333333334,0.06666666666666667
512,802,covariate,0.03605736549547917,402.1534323333334,457.4257141610107,0.0,0.13333333333333333
512,803,covariate,0.034997581187665376,287.91673700000007,360.5521110175482,0.03333333333333333,0.16666666666666666
512,807,covariate,0.034660497492056665,467.1540953333333,600.3570052872961,0.0,0.2
512,808,covariate,0.05118048466729966,504.3121564666668,656.1286167329804,0.03333333333333333,0.3
512,809,covariate,0.03431497000971867,425.1898432,571.1572783363829,0.03333333333333333,0.13333333333333333
512,810,covariate,0.03419742549707279,310.19518033333344,363.1785693301843,0.1,0.13333333333333333
512,811,covariate,0.03642186141754633,221.81182176666664,268.7282234365382,0.0,0.2
512,812,covariate,0.031225458086370738,266.576486,341.0251103351601,0.0,0.2
512,813,covariate,0.032774875183830994,282.41118190000003,359.3891582531356,0.13333333333333333,0.1
512,814,covariate,0.03255278990426597,396.0502898666667,479.4594292596677,0.0,0.13333333333333333
512,816,covariate,0.044872574812310335,284.4900803333333,352.32109601158464,0.03333333333333333,0.26666666666666666
512,817,covariate,0.02418700217470945,678.2126583333331,874.5773400851598,0.06666666666666667,0.03333333333333333
512,818,covariate,0.036499212378360846,305.1461320166666,365.4387396546892,0.0,0.1
512,819,covariate,0.03480503188361276,278.43415439999995,349.8609415873921,0.0,0.26666666666666666
512,821,covariate,0.03291642418101217,291.4283269999999,455.9142757393056,0.03333333333333333,0.03333333333333333
512,822,covariate,0.042692880962445355,437.3791133333333,573.1808505721943,0.03333333333333333,0.16666666666666666
512,823,covariate,0.03683857431479606,296.69787599999995,379.736916919125,0.1,0.1
512,824,covariate,0.035157735577687685,377.11584666666664,447.77323124151087,0.06666666666666667,0.13333333333333333
512,826,covariate,0.035899070998737605,437.796896,537.9565021202784,0.1,0.06666666666666667
512,827,covariate,0.038505844397762994,865.8976700000001,1038.060579405932,0.13333333333333333,0.23333333333333334
512,828,covariate,0.03793172656373451,264.0907848,346.6215494234152,0.0,0.13333333333333333
512,829,covariate,0.037578730258165535,299.93679216666675,383.4015897773448,0.13333333333333333,0.1
512,830,covariate,0.04455041343188947,406.3389004999999,500.25277580537056,0.03333333333333333,0.2
512,831,covariate,0.03391479172412591,554.0722293333332,672.0524226801409,0.0,0.13333333333333333
512,832,covariate,0.041332426662509816,393.0892781666667,486.40208768374896,0.13333333333333333,0.1
512,833,covariate,0.03991829408583293,304.9157444000001,376.81720921066693,0.1,0.1
512,834,covariate,0.03408634402331091,279.78990120000003,347.88438694163244,0.0,0.13333333333333333
512,835,covariate,0.04006870063306076,302.143729,366.1454659563904,0.03333333333333333,0.03333333333333333
512,836,covariate,0.03978364136524532,335.6231599,411.7778474364363,0.03333333333333333,0.23333333333333334
512,837,covariate,0.03487933844578199,190.4615178133333,240.24263899010745,0.0,0.26666666666666666
512,838,covariate,0.03100837606624326,377.34722233333326,436.8554641971504,0.06666666666666667,0.1
512,839,covariate,0.037857560737678035,182.99638963333337,246.89296127531642,0.03333333333333333,0.13333333333333333
512,840,covariate,0.03668369891693356,318.60242833333336,397.38269833607217,0.03333333333333333,0.1
512,841,covariate,0.037508575355364664,132.5510449,164.451903533713,0.0,0.1
512,843,covariate,0.04753657666326578,635.1186783333335,800.116316630673,0.03333333333333333,0.26666666666666666
512,844,covariate,0.04159813532805089,218.5425028666667,299.146423703505,0.0,0.06666666666666667
512,845,covariate,0.04660599260162506,349.558437,405.08568886379743,0.06666666666666667,0.23333333333333334
512,846,covariate,0.03881664649029471,460.34655000000004,606.5045632133297,0.0,0.16666666666666666
512,847,covariate,0.04804914775229808,426.899835,555.8005991081327,0.13333333333333333,0.2
512,848,covariate,0.051875606110199174,526.369055,675.3671763367856,0.1,0.16666666666666666
512,849,covariate,0.0337666172821048,432.2810117666666,498.8773907192245,0.1,0.1
512,850,covariate,0.044777625032815314,401.8372031,472.7712889393881,0.03333333333333333,0.13333333333333333
512,852,covariate,0.04820391149018871,304.5443866666666,363.17518375784294,0.1,0.2
512,853,covariate,0.02614638197487855,350.45181990000003,451.7525590006275,0.1,0.03333333333333333
512,854,covariate,0.044168660501981226,352.53778300000005,439.19976371482676,0.03333333333333333,0.16666666666666666
512,855,covariate,0.04528920705576364,386.31874265,554.2814031092465,0.1,0.2
512,856,covariate,0.03699209769064761,389.1207016666666,480.9889159124848,0.03333333333333333,0.23333333333333334
512,857,covariate,0.02946154140052247,339.5012635999999,446.69102785584323,0.1,0.1
512,860,covariate,0.04614932377389736,398.6672541333335,546.6496211002368,0.06666666666666667,0.3333333333333333
512,861,covariate,0.04444564929652489,237.7821813333333,293.7321714046955,0.23333333333333334,0.16666666666666666
512,862,covariate,0.04343110940859085,497.26353433333344,655.9453967984203,0.0,0.23333333333333334
512,863,covariate,0.03102519295309801,420.31095000000005,501.807354291433,0.1,0.23333333333333334
512,864,covariate,0.048618395055368864,297.89075620000006,389.90975997058814,0.16666666666666666,0.13333333333333333
512,865,covariate,0.040677114613682404,425.25003813333325,553.8108267098557,0.06666666666666667,0.16666666666666666
512,866,covariate,0.033378454567523454,354.09632614000003,426.21134578286905,0.06666666666666667,0.16666666666666666
512,867,covariate,0.039109491649352006,318.5480033333333,374.20450925606127,0.2,0.13333333333333333
512,868,covariate,0.041544989091307306,557.3395393333333,701.2297911682683,0.13333333333333333,0.1
512,869,covariate,0.0495569790477633,367.4505688333333,483.1053079603645,0.03333333333333333,0.16666666666666666
512,870,covariate,0.037743783334164484,350.0446779600001,446.39302787153383,0.06666666666666667,0.16666666666666666
512,871,covariate,0.045254667266206354,412.07272766666665,591.7391127880991,0.13333333333333333,0.2
512,872,covariate,0.048790942494250776,488.45244346666664,594.4548231373406,0.06666666666666667,0.16666666666666666
512,873,covariate,0.04041838749610118,197.11354983333337,240.74153491740734,0.0,0.26666666666666666
512,874,covariate,0.04806677522629685,323.0676863333334,391.29269787763803,0.13333333333333333,0.2
512,875,covariate,0.03693874939919019,233.69722166666662,331.4162321135631,0.0,0.16666666666666666
512,876,covariate,0.4969877729405731,3141.2986931666674,4908.349210982248,0.06666666666666667,0.2
